,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
22,Takehiro Tomiyasu,jp JPN,DF,26-138,,0,7.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.37,0.0,2.37,2.37,2.37
23,Reiss Nelson,eng ENG,FW,25-103,,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,Nathan Butler-Oyedeji,eng ENG,FW,22-078,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Ayden Heaven,eng ENG,DF,18-182,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Ismeal Kabia,eng ENG,MF,19-103,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Maldini Kacurri,al ALB,DF,19-170,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Neto,br BRA,GK,35-247,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Josh Nichols,eng ENG,DF,18-240,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Eddie Nketiah,eng ENG,FW,25-297,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Salah Oulad M'Hand,nl NED,MF,21-215,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Jack Porter,eng ENG,GK,16-251,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Aaron Ramsdale,eng ENG,GK,26-313,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Tommy Setford,eng ENG,GK,19-010,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Squad Total,,,26.5,,319,2610.0,29.0,51.0,40.0,91.0,49.0,2.0,2.0,60.0,5.0,44.5,43.0,33.9,76.9,632.0,1394.0,1373.0,1.76,1.38,3.14,1.69,3.07,1.54,1.17,2.71,1.48,2.65
36,Opponent Total,,,26.8,,319,2610.0,29.0,24.0,17.0,41.0,22.0,2.0,2.0,68.0,1.0,24.7,23.2,17.1,40.3,491.0,738.0,730.0,0.83,0.59,1.41,0.76,1.34,0.85,0.59,1.44,0.8,1.39
0,Matz Sels,be BEL,GK,33-025,,29,2610.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Ola Aina,ng NGA,DF,28-166,,29,2531.0,28.1,2.0,1.0,3.0,2.0,0.0,0.0,2.0,0.0,0.6,0.6,0.7,1.3,54.0,91.0,52.0,0.07,0.04,0.11,0.07,0.11,0.02,0.03,0.05,0.02,0.05
2,Nikola Milenković,rs SRB,DF,27-162,,28,2520.0,28.0,4.0,2.0,6.0,4.0,0.0,0.0,4.0,0.0,3.5,3.5,0.8,4.3,2.0,41.0,5.0,0.14,0.07,0.21,0.14,0.21,0.13,0.03,0.15,0.13,0.15
3,Murillo,br BRA,DF,22-262,,28,2478.0,27.5,1.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,1.2,1.2,1.1,2.3,15.0,88.0,4.0,0.04,0.0,0.04,0.04,0.04,0.04,0.04,0.08,0.04,0.08
4,Chris Wood,nz NZL,FW,33-106,,28,2344.0,26.0,18.0,3.0,21.0,15.0,3.0,3.0,1.0,0.0,11.0,8.7,1.9,10.6,13.0,33.0,72.0,0.69,0.12,0.81,0.58,0.69,0.42,0.07,0.5,0.33,0.41
